Sexo,Casado,Edad,Fumador,Trabajo,Hijos,Localidad,Telefono Casa,Telefono Celular,Correo Electronico,IMSS,Tipo de Sangre,Egreso Preparatoria,Preparotoria,Promedio Preparatoria,Certificado de Conducta,Situación,Periodo,Creditos,Materias Aprobadas,Materias Cursadas
1,No,18.91,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,3.0,9.43,REGULAR,5.0,10.0,400.0,69.0,69.0
1,No,21.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,3.0,8.37,REGULAR,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.52,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,Si,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,1.0,9.31,MALO,5.0,11.0,400.0,69.0,69.0
2,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,8.3,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.0,BUENO,5.0,10.0,400.0,69.0,69.0
M,No,18.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,3.0,9.69,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.23,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.94,BUENO,5.0,10.0,400.0,69.0,69.0
2,Si,18.0,No,No,1.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,5.0,8.22,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.88,BUENO,5.0,10.0,400.0,69.0,69.0
